Temperatura,Dia_Semana,Feriado,Chuva,Pratos_Vendidos
27.483570765056164,5,0,0,111
24.308678494144075,4,0,0,106
28.23844269050346,5,1,0,150
32.61514928204013,1,0,0,82
23.829233126383322,3,0,0,91
23.8293152152541,4,1,0,133
32.896064077536955,4,0,1,92
28.837173645764544,4,0,0,102
22.65262807032524,6,0,0,123
27.712800217929825,4,0,0,102
22.682911535937688,5,0,1,88
22.671351232148716,4,0,0,101
26.20981135783017,2,0,1,59
15.43359877671101,3,0,0,87
16.375410837434835,4,0,1,73
22.188562353795135,3,0,0,90
19.93584439832788,2,0,1,62
26.571236662976368,2,0,0,80
20.459879622393945,3,0,0,90
17.938481493323543,0,0,0,59
32.32824384460777,1,0,0,78
23.871118497567323,6,0,0,121
25.33764102343962,0,0,1,48
17.87625906893272,0,0,1,28
22.278086377374088,5,0,0,125
25.55461294854933,6,0,0,118
19.245032112888488,6,0,0,121
26.87849009172836,0,0,0,58
21.996806550405974,4,0,0,104
23.541531251033618,5,0,0,113
21.991466938853016,5,0,0,107
34.26139092254469,2,0,0,92
24.93251387631033,6,1,0,151
19.711445355220498,0,0,0,62
29.112724560515943,2,0,0,79
18.895781750144888,3,0,0,89
26.044317975023777,1,0,1,63
15.201649380601122,5,0,0,112
18.359069755507846,3,0,0,90
25.984306179345616,3,0,0,90
28.692332899977053,4,0,0,104
25.85684140594985,1,0,1,53
24.421758588058797,3,0,0,94
23.494481522053555,3,0,0,86
17.607390048162863,1,1,0,102
21.400778958026457,1,0,1,45
22.696806145201062,3,0,1,79
30.285611131094576,1,0,0,71
26.71809144784231,3,0,0,94
16.18479922318633,3,0,0,93
26.620419846973974,4,0,1,82
23.074588597918417,0,0,0,63
21.615389998470206,3,0,1,77
28.05838144420434,2,0,0,86
30.154997612479754,5,0,0,116
29.656400595580994,6,0,0,116
20.803912383886807,0,0,0,55
23.453938120743928,0,0,0,66
26.65631715701782,0,0,0,66
29.877725635611796,4,0,0,108
22.60412881077355,3,0,0,94
24.071705116680914,4,0,0,108
19.46832512996986,3,0,0,88
19.018966879596647,4,0,1,80
29.062629111970992,4,0,1,79
31.781200142854114,5,0,1,89
24.63994939209833,2,0,1,54
30.01766448946012,4,0,0,100
26.80818012523817,5,0,0,121
21.77440122697438,1,0,0,63
26.80697802754207,2,0,0,81
32.690182832329846,4,0,0,99
24.820869804450243,6,0,1,99
32.82321827907003,0,0,0,67
11.901274479551278,1,0,0,62
29.10951252187612,1,0,0,80
25.435235341190857,5,0,0,120
23.504963247670663,1,0,0,60
25.45880388267751,2,0,0,79
15.062155426995536,4,0,1,77
23.90164056081244,4,0,0,107
26.78556285755873,6,0,0,121
32.38947022370758,0,0,1,46
22.40864890863176,5,0,1,85
20.95753198553406,0,0,1,32
22.491214782077318,1,0,1,58
29.57701058851037,6,0,0,115
26.643755548298422,0,0,0,74
22.351198981164806,2,0,0,84
27.56633716556678,4,0,0,107
25.4853877467402,1,0,0,75
29.843224952664446,6,0,0,123
